,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,25.24957,32.11871,44.5438,54.19876,54.7142,43.67382,40.61238,40.3412,33.58679,39.76804,65.55846,48.77821
1984,22.55486,34.05352,53.77871,58.26765,45.32716,40.85447,43.37282,42.43955,31.31211,40.12127,50.36106,36.74442
1985,39.5942,39.09258,44.96693,34.96832,50.84502,33.79557,48.35196,48.75868,35.0192,41.27787,61.46091,31.56067
1986,29.34002,47.90062,31.41912,33.98091,42.42569,44.15926,49.71066,40.58606,44.79738,44.60133,36.49743,38.40977
1987,40.80604,34.35321,52.22634,42.80663,40.72189,42.65681,50.466,50.79236,28.97047,43.65326,46.5024,51.83081
1988,38.19436,30.84506,40.57482,41.04063,47.53657,37.17992,52.31051,42.03582,32.29472,28.98505,50.21149,32.18224
1989,23.4928,26.49128,40.86235,32.45876,44.38161,44.68415,47.42217,43.24525,46.72327,38.83611,42.93865,37.75391
1990,33.09261,32.57738,34.26487,52.29803,58.75494,41.00824,56.05347,43.86838,36.40181,42.66521,37.98174,53.27166
1991,29.46517,32.22428,53.85007,44.63336,53.1643,35.34056,48.27444,35.8267,32.5959,38.00228,35.95615,44.88574
1992,25.5013,31.43142,40.36969,37.10183,45.90285,48.41055,59.17732,40.67162,33.87644,32.77132,44.38545,46.72471
1993,35.68213,42.78593,43.14852,44.06116,58.57278,50.03677,54.52292,43.79196,41.05003,35.62571,59.56147,30.04194
1994,38.51918,38.29596,30.3208,47.38877,41.47856,33.32828,46.3746,50.57426,28.5905,38.51646,50.89249,39.11321
1995,45.26622,21.92481,43.54966,43.86126,62.8865,46.76944,51.61479,54.44643,37.86086,28.0658,35.0303,41.00753
1996,48.54193,38.26096,50.01006,46.39985,58.32945,44.40347,61.32106,44.51876,46.24609,39.52261,38.19904,53.09986
1997,42.48514,26.49586,36.49243,40.7291,50.8773,45.30668,38.09066,48.6643,34.0978,39.24196,49.81103,45.01629
1998,43.76308,48.93047,49.81362,52.55571,63.99648,53.06286,55.90809,46.42779,35.7491,38.39136,41.57173,33.63263
1999,37.55084,33.9245,42.65033,49.67512,40.95739,38.41859,41.6665,45.65654,42.98547,33.51464,34.22004,28.0287
2000,35.07372,36.68448,35.81211,41.11211,39.41408,42.80632,39.80046,40.61911,37.513,43.10994,33.62848,36.23333
2001,36.05131,34.69508,35.835,34.74081,47.26988,37.75652,50.44572,40.78789,34.01018,37.10947,41.1799,49.29181
2002,33.98522,18.83719,40.28942,59.56395,53.54201,39.34816,42.14109,40.23742,39.82501,44.3932,37.11224,55.65246
2003,32.54171,45.73607,43.62828,57.34975,50.76272,47.86367,45.2375,47.37647,49.63544,44.76345,47.71083,48.8797
2004,41.15649,32.90913,42.12787,47.30408,56.21801,43.50787,57.43162,44.61637,35.64893,42.47513,51.85766,40.63062
2005,45.90014,37.31295,42.48919,39.60503,49.61472,42.55736,42.46761,51.73001,35.45934,41.66771,41.58673,37.29335
2006,45.13301,31.32545,43.58454,46.1838,36.86101,43.23234,53.17611,40.28234,39.73465,55.5858,40.36965,34.01907
2007,28.6622,33.00248,48.32158,48.62401,44.74077,38.95478,41.76996,45.59309,38.38764,48.48795,34.21766,47.88126
2008,31.7366,35.46815,36.66985,41.77453,50.34207,45.17002,51.20012,41.01203,46.51909,38.42202,33.19802,46.36913
2009,40.7345,38.71097,41.17224,56.23372,47.59014,46.65126,52.03844,40.12118,40.82132,50.65696,36.83563,58.63373
2010,43.95722,52.02369,48.22395,46.406,57.51548,51.32564,46.45325,43.63337,47.70956,49.31085,33.43711,40.91839
2011,29.87081,43.77512,43.63552,56.24117,57.88303,47.72621,45.02596,43.22366,41.03445,40.73849,50.03106,35.13541
2012,35.04965,38.65992,40.53995,43.85797,40.79544,33.98462,53.17031,37.58731,41.90568,42.50497,38.77936,55.00806
2013,40.06059,37.00915,43.27,45.14888,46.7963,45.06624,62.28104,42.36911,37.74712,41.78227,35.07442,36.96208
2014,33.45569,34.01703,37.4738,48.71072,41.91477,53.48542,40.50888,48.89686,47.72975,47.98743,43.0434,43.93835
2015,33.69932,39.06367,43.9845,46.69824,47.68902,57.63334,47.63202,41.42149,41.08071,50.53076,47.12136,37.43567
2016,44.79224,29.94251,46.98325,46.94668,63.17312,40.56018,63.11313,47.72363,39.07225,38.67505,37.93411,42.41155
2017,48.70597,31.48119,44.79138,51.34564,53.43814,40.08547,55.46983,51.14605,24.00104,38.37427,35.09446,25.87304
2018,33.44899,45.79088,52.7616,35.66386,59.49004,47.65861,48.97203,56.93272,41.69905,49.46655,47.0957,47.28316
2019,46.28146,40.13299,42.92469,58.09623,57.96165,50.02271,39.01128,47.51753,32.10872,37.52626,41.45303,45.11281
2020,35.30453,32.40673,48.56361,48.94833,54.82663,38.50449,54.1955,56.9183,36.83239,30.69678,38.19522,35.22564
